"name","physical_address","phone","email","description","website","Source","latitude","longitude","categories","countrry_code","updated_at"
"Pouto Marae","Pouto","027 277 7797","","","","https://www.facebook.com/notes/tour-aotearoa/ta20-special-services/2586416448142826/","-36.3531641","174.1721607","TA-SpecialServices","NZ","1/01/2020"
"Karapiro Vista","66A Horahora Road, Piarere","027 226 1514","","","","https://www.facebook.com/notes/tour-aotearoa/ta20-special-services/2586416448142826/","-37.9522919","175.6656973","TA-SpecialServices","NZ","1/01/2020"
"Margaret AirBnB","33 Moana Crescent, Mangakino","021 997274","","","","https://www.facebook.com/notes/tour-aotearoa/ta20-special-services/2586416448142826/",,,"TA-SpecialServices","NZ","1/01/2020"
"Pa Harakeke","Pureora","027 759 3978","","","","","-38.5217505","175.5395037","TA-SpecialServices","NZ","1/01/2020"
"JollyBikes","96 Richmond St, Thames","021 0816 5000","","Welcome Centre","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.1425466","175.5419391","TA-SpecialServices","NZ","1/01/2020"
"Paeroa Info Hub","101 Normanby Road, Paeroa","07 862 8636","","Welcome Centre","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.3808176","175.6707806","TA-SpecialServices","NZ","1/01/2020"
"Te Aroha Motel","108 Whitaker Street Te Aroha","07 884 9417","","Welcome Centre","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.5444326","175.7137776","TA-SpecialServices","NZ","1/01/2020"
"The Good Merchant","44 Broadway, Matamata","07 880 9561","","Welcome Centre","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.808966","175.772571","TA-SpecialServices","NZ","1/01/2020"
"Miranda Holiday Park","595 Front Miranda Road, Miranda","0800 833 144","stay@mirandaholidaypark.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.207276","175.3332852","TA-SpecialServices","NZ","1/01/2020"
"Miranda Homestead B&B","397 Front Miranda Road, Waitakaruru","07 867 3377","ellie.vette@hotmail.com","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.2142521","175.3538517","TA-SpecialServices","NZ","1/01/2020"
"Tuscany On Thames Motel","200 Jellicoe Crescent, Thames","07 868 5099","tuscanyonthames@xtra.co.nz","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.1475053","175.5488702","TA-SpecialServices","NZ","1/01/2020"
"Rolleston Motel","105 Rolleston Street, Thames","07 868 8091","rollestonmotel@gmail.com","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.1484609","175.5511262","TA-SpecialServices","NZ","1/01/2020"
"Corbett House B&B","8088 State Highway 26, Kopu-Paeroa Road, Hikutaia","07 862 4710","corbetthousenz@gmail.com","Places to Stay","","http://www.kennett.co.nz/maps/tour-aotearoa/files/Hauraki_TourAotearoa_20_f_pr.pdf","-37.29348","175.655439","TA-SpecialServices","NZ","1/01/2020"
