zid,name,tags,website,physical_address,phone,opening_hours,country_code,longitude,latitude,gisprecision,correctly_placed,created_at,updated_at,updated_by,facebook_page,categories,region_1,region_2,region_3
1039907,Te Kauwhata Auto Services,"Mobil petrol station, Laundromat, WOF, Ice cream, Party ice, Auto accessories, Lub Services",http://www.mobil.co.nz,"35 Main Street, Te Kauwhata, Waikato","",Mon-Sun,NZ,175.144926,-37.403147,Address,1,2006-10-04T15:51:28Z,2015-05-21T05:53:33Z,zenbu_out010,"",GasStation DryCleaningOrLaundry ConvenienceStore,Waikato,Te Kauwhata,Te Kauwhata
1072688,Susan & Tony,"Clothing Alterations & Repairs, Tailoring shop, Dressmaking, Dry Cleaning Services","","First Floor, Shop 113, Queens Arcade, 34-40 Queen St, Auckland Central",09 373 2100,"",NZ,174.766702,-36.845108,number,1,2006-11-15T16:27:17Z,2015-03-19T00:44:09Z,zenbu_out010,"",LocalBusiness DryCleaningOrLaundry,Auckland,Auckland,Auckland Central
1093583,Premier Master Drycleaners Ponsonby,Drycleaning,"","164 Ponsonby Rd, Ponsonby, Auckland",09 361 2122,"",NZ,174.746057,-36.855218,manual,1,2007-01-20T11:11:00Z,2010-05-26T13:45:24Z,zenbu,,DryCleaningOrLaundry,Auckland,Auckland,Ponsonby
1094527,Brightstar Laundry,laundry,"","40 Birkenhead Ave, Birkenhead",(09) 480 9091,"",NZ,174.725575,-36.810706,manual,1,2007-02-20T14:27:30Z,2013-04-12T15:03:01Z,zenbu,,DryCleaningOrLaundry,Auckland,Auckland,Birkenhead
1095145,Parnell Laundry,"Laundry, drycleaning service and self service","","409 Parnell Road, Parnell, Auckland",(09) 373 2680,"",NZ,174.78264,-36.858928,number,1,2007-03-13T12:48:13Z,2013-04-12T15:03:12Z,zenbu,,DryCleaningOrLaundry,Auckland,Auckland,Parnell
1097038,Maxwells Drycleaning Remuera,"Drycleaning, pressing, repairs and shirt service, alterations, wedding gowns & balls, drapes, curtains & blinds, dyeing, flood & fire damage, watch repairs",http://www.maxwellsdrycleaning.co.nz/,"375 Remuera Rd, Remuera, Auckland",09 529 0241,"",NZ,174.798035,-36.880898,number,1,2007-04-03T12:55:50Z,2015-02-04T03:41:10Z,zenbu_out010,"",DryCleaningOrLaundry,Auckland,Auckland,Remuera
1097521,Blue-N-Green Drycleaners,Drycleaning,http://www.drycleaners.co.nz/,"333 Ti Rakau Drive, Pakuranga",09 273 5253,"",NZ,174.900839,-36.927663,Address,1,2007-04-16T11:08:39Z,2013-04-12T14:53:53Z,zenbu,,DryCleaningOrLaundry,Auckland,Auckland,Burswood
1098096,Regal Drycleaners Newmarket,"Auckland's Best Drycleaner, Repairs & Alterations, Fire/Smoke Restoration",http://www.regaldrycleaners.co.nz/,"Unit D, 402 Broadway, Newmarket, Auckland",09 520 6040,"Mon-Fri 7am-6.30pm, Sat 8.30am-5pm, Sun 11am-3pm",NZ,174.777254,-36.872654,number,1,2007-04-17T15:24:41Z,2014-09-22T02:31:01Z,zenbu_out010,https://www.facebook.com/regaldrycleanersNZ,DryCleaningOrLaundry,Auckland,Auckland,Newmarket
1098475,Herne Bay Drycleaners,Drycleaning,https://www.hbdc.co.nz/,"62 Jervois Road Herne Bay, Auckland, 1011",09 376 3297,Monday to Friday : 7:30 am to 5:30 pm Saturdays : 8:30 am to 3:30 pm Sundays : closed,NZ,174.741998,-36.846253,ROOFTOP,1,2007-04-25T10:21:11Z,2017-12-18T15:50:03Z,mark29ckark,"",DryCleaningOrLaundry,Auckland,Auckland,Ponsonby
1108370,La Nuova Drycleaners,Dry cleaning / Repairs / Commercial Laundry,http://www.lanuova.co.nz,"41 Princes Street, Hawera, Taranaki",06 278 0500,7:30 - 5:30,NZ,174.282637,-39.591556,number,1,2007-07-06T14:16:15Z,2013-12-20T21:02:13Z,drycleaner,"",DryCleaningOrLaundry,Taranaki,Hawera,Hawera
1110802,OCS - Auckland,"waste management, linen hire, pest control, fumigation, computer cleaning, washroom hygiene, exterminator, pest control services, rodent control, commercial cleaning",http://www.ocs.co.nz,"Level 4, 26 Virginia Avenue, Eden Terrace, Auckland",0800 33 23 33,"",NZ,174.75517,-36.865754,number,1,2007-07-06T14:21:57Z,2011-12-15T16:22:12Z,hairylemonnz,"",DryCleaningOrLaundry,Auckland,Auckland,Eden Terrace
1117652,Sudserella Laundry Ltd,Commercial & Industrial Laundry,"","58 Mahia Road, Manurewa",+64-9 266 1376,"",NZ,174.899724,-37.03488,Address,1,2007-07-29T02:59:06Z,2007-11-16T02:33:00Z,muzzanz1,,DryCleaningOrLaundry,Auckland,Auckland,Manurewa
1118854,Star Drycleaning,Drycleaners,"","Store 284, Level 2, Westfield Albany, 219 Don McKinnon Drive, Albany, Auckland",09 925 9595,"",NZ,174.709192,-36.728941,manual,1,2007-12-04T09:28:03Z,2015-02-17T07:11:35Z,zenbu_out010,"",DryCleaningOrLaundry,Auckland,Auckland,Albany
1122763,Rayland Motel,"Accommodation, restaurant, on-site secure parking, Sky TV, free Zenbu Wi-Fi wireless internet [broadband wifi] in all rooms, laundry, dry-cleaning, free newspaper,",http://rayland.co.nz/,"12 Lakewood Court, Manukau, Auckland",[09] 263 8738,"",NZ,174.886993,-36.993496,Address,1,2008-06-06T20:02:21Z,2013-04-12T15:11:12Z,zenbu,"",Motel Restaurant LodgingBusiness,Auckland,Auckland,Manukau
1127860,Pukekohe Drycleaners & Laundromat,"Dry Cleaners, laundromat",,"56 Edinburgh Street, Pukekohe",(09) 238 7694,,NZ,174.903666,-37.200177,Address,1,2008-07-15T11:00:14Z,2008-07-15T11:00:14Z,nzgooner,,DryCleaningOrLaundry,Auckland,Pukekohe,Pukekohe
1127865,Findlays Dry Cleaners,Dry Cleaners,,"65 King Street, Pukekohe",(09) 238 7685,,NZ,174.902701,-37.200561,Address,1,2008-07-15T11:00:16Z,2013-04-12T14:53:53Z,zenbu,,DryCleaningOrLaundry,Auckland,Pukekohe,Pukekohe
1132444,Central Laundrette,Laundrette,"","5 Limerick St, Alexandra",(03) 448 6110,"",NZ,169.392563,-45.257473,Address,1,2008-08-31T17:16:18Z,2008-08-31T17:16:18Z,GaryMck,,DryCleaningOrLaundry,Otago,Alexandra,Alexandra
1135435,Lotto & Wild Thingz,"Lotto, Scratch cards, Lottery tickets, novelty gifts, cards, ornaments, decors, artworks, drycleaning","","Shop 82, The Palms Shopping Centre, Corner New Brighton & Marshland Roads, Shirley, Christchurch",03 385 4633,"",NZ,172.664306,-43.505632,manual,1,2008-11-10T14:49:19Z,2015-03-16T11:13:36Z,zenbu_out010,"",Store DryCleaningOrLaundry,Canterbury,Christchurch,Shirley
1137754,TLC Drycleaners Ponsonby,"Drycleaning, repairs and alterations, wedding gown service","","171 Ponsonby Road, Ponsonby, Auckland","","Mon-Fri 7am-6pm, Sat 9am-2pm",NZ,174.745896,-36.854063,manual,1,2008-12-10T12:24:51Z,2015-03-02T08:57:00Z,zenbu_out010,"",DryCleaningOrLaundry,Auckland,Auckland,Ponsonby
1141300,Rolleston Drycleaners & Laundromat,"Drycleaners, Laundromat, Cartridge World Rolleston agents","","Shop 16, Rolleston Square, Rolleston",03 347 7601,"Mon-Fri 8am-5.30pm, Sat 9am-1pm",NZ,172.385673,-43.595346,manual,1,2009-01-06T21:52:40Z,2015-04-08T09:04:06Z,zenbu_out010,"",LocalBusiness DryCleaningOrLaundry,Canterbury,Rolleston,Rolleston
