zid,name,tags,website,physical_address,phone,opening_hours,country_code,longitude,latitude,gisprecision,correctly_placed,created_at,updated_at,updated_by,facebook_page,categories,region_1,region_2,region_3
1032053,BP Connect Fendalton,"Service station, Carwash, ATM, Wifi, Trailer Hire, Toilet, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Wild Bean Cafe, Autogas, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"1 Memorial Ave, Christchurch",03 351 4760,24 hours,NZ,172.589984,-43.518626,number,1,2006-09-01T12:51:29Z,2014-11-25T02:05:21Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Canterbury,Christchurch,Ilam
1032060,BP 2go Waiheke,"Service station, Workshop, Toilet, AA Smartfuel, Diesel, Unleaded 91, Unleaded 95, LPG fills, LPG 45 kg delivery, Tyres On Tui tyre shop",http://www.bp.co.nz,"2 Tui Street, Oneroa, Waiheke Island",09 372 8876,6.30am-9.30pm 7 days a week,NZ,175.010987,-36.783918,number,1,2006-09-01T12:51:30Z,2017-04-09T09:24:39Z,BP2GOWaiheke,https://www.facebook.com/bp,GasStation TireShop,Auckland,Waiheke Island,Oneroa
1032102,BP Connect Silverdale,"Service station, ATM, Wifi, Trailer Hire, Toilet, Road User Charges, Swappa Bottle LPG, AA Smartfuel, BP Autogas (LPG), Wild Bean Cafe, Autogas, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"3 Hibiscus Coast Highway, Silverdale, Auckland",09 426 2530,24 hours,NZ,174.680418,-36.616604,manual,1,2006-09-01T12:51:31Z,2014-11-21T04:22:20Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Auckland,Silverdale,Silverdale
1032116,BP 2go Fairlie,"Service station, Toilet, Road User Charges, Trailer Hire, AA Smartfuel, Unleaded 95, Unleaded 91, Diesel",http://www.bp.co.nz,"5 Mount Cook Road, Fairlie",03 685 8106,"",NZ,170.827752,-44.096978,number,1,2006-09-01T12:51:31Z,2014-11-21T01:50:52Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Canterbury,Fairlie,Fairlie
1032123,BP Connect Dannevirke,"Service station, ATM, Wifi, Toilet, Road User Charges, Swappa Bottle LPG, AA Smartfuel, Wild Bean Cafe, BP Ultimate Diesel, Ultimate 98, Unleaded 91",http://www.bp.co.nz,"5 High Street, Dannevirke",06 374 5770,Mon-Sun 5am-11pm,NZ,176.094934,-40.209929,Address,1,2006-09-01T12:51:31Z,2014-11-21T02:23:06Z,zenbu_out010,https://www.facebook.com/bp,GasStation AutomatedTeller,Manawatu-Wanganui,Dannevirke,Dannevirke
1032130,BP 2go Moturoa,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, Unleaded 91, Unleaded 95, Diesel",http://www.bp.co.nz,"7 Breakwater Road, Moturoa, New Plymouth",06 751 0047,"",NZ,174.044353,-39.063165,number,1,2006-09-01T12:51:32Z,2014-11-21T02:03:26Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Taranaki,New Plymouth,Moturoa
1032144,BP 2go Target Road,"Service station, Trailer Hire, Toilet, Workshop, AA Smartfuel, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"8b Target Road, Glenfield, Auckland",09 444 8856,"",NZ,174.724723,-36.761462,manual,1,2006-09-01T12:51:32Z,2014-11-21T04:46:18Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,Auckland,Totara Vale
1032151,BP 2go Whitford,"Service station, Wifi, Road User Charges, Workshop, Toilet, Swappa Bottle LPG, AA Smartfuel, Autogas, BP Ultimate Diesel, Unleaded 91, Ultimate 98",http://www.bp.co.nz,"8 Whitford-Maraetai Rd, Whitford , Auckland",09 530 8469,"",NZ,174.964823,-36.945605,manual,1,2006-09-01T12:51:32Z,2014-11-24T01:38:45Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Auckland,,Whitford
1032158,BP 2go Gore,"Service station, Carwash, Toilet, AA Smartfuel, Autogas, Diesel, Unleaded 95, Unleaded 91",http://www.bp.co.nz,"8 Railway Esplanade, Gore",03 208 5658,"",NZ,168.954323,-46.097232,number,1,2006-09-01T12:51:32Z,2014-11-25T00:20:57Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Southland,Gore,East Gore
1032186,BP 2go Flaxmere,"Service station, Trailer Hire, Toilet, AA Smartfuel, BP Autogas (LPG), Autogas, BP Ultimate Diesel, Unleaded 91, Unleaded 95",http://www.bp.co.nz,"10 Swansea Road, Hastings, Flaxmere",06 879 5718,"",NZ,176.787312,-39.624871,number,1,2006-09-01T12:51:33Z,2014-11-24T07:38:01Z,zenbu_out010,https://www.facebook.com/bp,GasStation,Hawke's Bay,Hastings,Flaxmere
